'1fps_image_0001.jpg' , [-92.215197, 37.648858, 300.0] , [[-0.164039, -0.986149, 0.0245044, -64.5619], [-0.797607, 0.117978, -0.591527, -27.4551], [0.580443, -0.116578, -0.805913, 30.4671], [0.0, 0.0, 0.0, 1.0]] , [2505.6799999999998, 2505.6799999999998, 2048.0, 1080.0]
'1fps_image_0002.jpg' , [-92.215197, 37.648858, 300.0] , [[-0.177977, -0.983721, 0.0248403, -65.2105], [-0.791753, 0.128165, -0.597244, -26.1228], [0.584338, -0.125963, -0.801675, 30.5885], [0.0, 0.0, 0.0, 1.0]] , [2505.6100000000001, 2505.6100000000001, 2048.0, 1080.0]
'1fps_image_0003.jpg' , [-92.215197, 37.648858, 300.0] , [[-0.159328, -0.986916, 0.0247191, -64.8038], [-0.788431, 0.112135, -0.604816, -26.0263], [0.594131, -0.115853, -0.795981, 32.6419], [0.0, 0.0, 0.0, 1.0]] , [2505.5500000000002, 2505.5500000000002, 2048.0, 1080.0]
'1fps_image_0004.jpg' , [-92.215197, 37.648858, 300.0] , [[-0.133629, -0.990815, 0.0207323, -64.2512], [-0.778276, 0.0919669, -0.621151, -26.2735], [0.613538, -0.099139, -0.783417, 34.8469], [0.0, 0.0, 0.0, 1.0]] , [2505.48, 2505.48, 2048.0, 1080.0]
'1fps_image_0005.jpg' , [-92.215197, 37.648858, 300.0] , [[-0.0809195, -0.996223, 0.031478, -62.1212], [-0.798291, 0.0458672, -0.600523, -29.7988], [0.596812, -0.0737226, -0.798987, 35.6917], [0.0, 0.0, 0.0, 1.0]] , [2505.4200000000001, 2505.4200000000001, 2048.0, 1080.0]
'1fps_image_0006.jpg' , [-92.215197, 37.648858, 300.0] , [[-0.106449, -0.993725, 0.0343447, -62.9728], [-0.79802, 0.0647773, -0.599139, -28.0269], [0.593155, -0.0911852, -0.799908, 34.4074], [0.0, 0.0, 0.0, 1.0]] , [2505.3499999999999, 2505.3499999999999, 2048.0, 1080.0]
'1fps_image_0007.jpg' , [-92.215197, 37.648858, 300.0] , [[-0.11209, -0.993196, 0.0315809, -62.9689], [-0.797092, 0.0708897, -0.599682, -27.13], [0.593363, -0.0923911, -0.799615, 34.1822], [0.0, 0.0, 0.0, 1.0]] , [2505.2800000000002, 2505.2800000000002, 2048.0, 1080.0]
'1fps_image_0008.jpg' , [-92.215197, 37.648858, 300.0] , [[-0.0936742, -0.995326, 0.0234961, -62.0888], [-0.792655, 0.0602784, -0.606683, -27.0546], [0.602431, -0.0754548, -0.794596, 35.7823], [0.0, 0.0, 0.0, 1.0]] , [2505.2199999999998, 2505.2199999999998, 2048.0, 1080.0]
'1fps_image_0009.jpg' , [-92.215197, 37.648858, 300.0] , [[-0.12948, -0.991241, 0.0259824, -63.7177], [-0.789448, 0.087195, -0.607592, -25.0484], [0.600005, -0.099183, -0.793824, 34.5641], [0.0, 0.0, 0.0, 1.0]] , [2505.1599999999999, 2505.1599999999999, 2048.0, 1080.0]
'1fps_image_0010.jpg' , [-92.215197, 37.648858, 300.0] , [[-0.124515, -0.991785, 0.0293177, -63.4008], [-0.792533, 0.0816354, -0.60434, -25.5633], [0.596982, -0.0984849, -0.796187, 34.6318], [0.0, 0.0, 0.0, 1.0]] , [2505.0999999999999, 2505.0999999999999, 2048.0, 1080.0]
'1fps_image_0011.jpg' , [-92.215197, 37.648858, 300.0] , [[-0.132867, -0.990903, 0.0213721, -63.4843], [-0.790384, 0.0929202, -0.605523, -24.6579], [0.598029, -0.0973464, -0.795541, 35.3077], [0.0, 0.0, 0.0, 1.0]] , [2505.02, 2505.02, 2048.0, 1080.0]
'1fps_image_0012.jpg' , [-92.215197, 37.648858, 300.0] , [[-0.0912328, -0.995735, 0.0137051, -61.6965], [-0.796967, 0.0647553, -0.600541, -26.3423], [0.597092, -0.0657115, -0.799476, 37.9125], [0.0, 0.0, 0.0, 1.0]] , [2504.9200000000001, 2504.9200000000001, 2048.0, 1080.0]
'1fps_image_0013.jpg' , [-92.215197, 37.648858, 300.0] , [[-0.0983875, -0.995033, 0.0151312, -62.4238], [-0.798394, 0.0698494, -0.59807, -25.5108], [0.594043, -0.0709233, -0.801301, 38.2355], [0.0, 0.0, 0.0, 1.0]] , [2505.0, 2505.0, 2048.0, 1080.0]
'1fps_image_0014.jpg' , [-92.215197, 37.648858, 300.0] , [[-0.102879, -0.994598, 0.0138077, -62.8673], [-0.792349, 0.0735513, -0.605618, -24.0467], [0.601331, -0.073246, -0.795635, 39.169], [0.0, 0.0, 0.0, 1.0]] , [2504.9899999999998, 2504.9899999999998, 2048.0, 1080.0]
'1fps_image_0015.jpg' , [-92.215197, 37.648858, 300.0] , [[-0.0741811, -0.99714, 0.014461, -61.7461], [-0.793314, 0.0502185, -0.606738, -24.5405], [0.604276, -0.0564806, -0.794771, 41.0754], [0.0, 0.0, 0.0, 1.0]] , [2505.0, 2505.0, 2048.0, 1080.0]
'1fps_image_0016.jpg' , [-92.215197, 37.648858, 300.0] , [[-0.0781925, -0.99684, 0.0140041, -62.0356], [-0.79043, 0.053429, -0.610217, -23.2345], [0.607541, -0.0587837, -0.79211, 41.9461], [0.0, 0.0, 0.0, 1.0]] , [2505.0500000000002, 2505.0500000000002, 2048.0, 1080.0]
'1fps_image_0017.jpg' , [-92.215197, 37.648858, 300.0] , [[-0.0412245, -0.999031, 0.0154296, -60.4884], [-0.790437, 0.0231633, -0.612106, -24.083], [0.611155, -0.0374299, -0.790625, 44.1371], [0.0, 0.0, 0.0, 1.0]] , [2505.1100000000001, 2505.1100000000001, 2048.0, 1080.0]
'1fps_image_0018.jpg' , [-92.215197, 37.648858, 300.0] , [[-0.0441261, -0.998721, 0.024697, -60.8585], [-0.794331, 0.0200816, -0.607153, -23.4893], [0.60588, -0.0464089, -0.794201, 44.2463], [0.0, 0.0, 0.0, 1.0]] , [2505.1900000000001, 2505.1900000000001, 2048.0, 1080.0]
'1fps_image_0019.jpg' , [-92.215197, 37.648858, 300.0] , [[-0.0288054, -0.999172, 0.0287329, -59.9646], [-0.795489, 0.00550843, -0.605943, -23.2094], [0.605283, -0.0403111, -0.794989, 45.1761], [0.0, 0.0, 0.0, 1.0]] , [2505.2800000000002, 2505.2800000000002, 2048.0, 1080.0]
'1fps_image_0020.jpg' , [-92.215197, 37.648858, 300.0] , [[-0.034658, -0.999042, 0.0267403, -60.1008], [-0.794719, 0.0113263, -0.606872, -21.5159], [0.605987, -0.042284, -0.79435, 45.5931], [0.0, 0.0, 0.0, 1.0]] , [2505.4000000000001, 2505.4000000000001, 2048.0, 1080.0]
'1fps_image_0021.jpg' , [-92.215197, 37.648858, 300.0] , [[-0.0330307, -0.999171, 0.0238016, -59.8801], [-0.790329, 0.0115345, -0.612573, -19.8849], [0.611791, -0.0390448, -0.790055, 46.3821], [0.0, 0.0, 0.0, 1.0]] , [2505.4899999999998, 2505.4899999999998, 2048.0, 1080.0]
'1fps_image_0022.jpg' , [-92.215197, 37.648858, 300.0] , [[-0.0602299, -0.997965, 0.0209466, -61.1662], [-0.785647, 0.0344505, -0.617715, -17.3595], [0.615736, -0.0536615, -0.786123, 46.2639], [0.0, 0.0, 0.0, 1.0]] , [2505.5700000000002, 2505.5700000000002, 2048.0, 1080.0]
