'20100427161936-04003000-00-VIS.jpg' , [-86.901357, 40.405257, 1790.6288871120003] , [[0.3290204937160046, -0.3759396849896474, -0.8662648948011002, 0.0], [0.8301619554903854, 0.5523742302185877, 0.0755899295329871, 0.0], [0.4500851501341228, -0.7440107949756558, 0.493833265979963, 0.0], [0.0, 0.0, 0.0, 1.0]] , [[-6.123233995736766e-17, 1.0, 7.498798913309288e-33, 0.0], [1.0, 6.123233995736766e-17, -1.2246467991473532e-16, 0.0], [-1.2246467991473532e-16, 0.0, -1.0, 0.0], [0.0, 0.0, 0.0, 1.0]] , [[1.0, 0.0, 0.0, 0.0], [0.0, 1.0, 0.0, 0.0], [0.0, 0.0, 1.0, 0.0], [0.0, 0.0, 0.0, 1.0]] , [14046, 14046, 1624.0, 2436.0]
'20100427161936-04003000-01-VIS.jpg' , [-86.901357, 40.405257, 1790.6288871120003] , [[0.3290204937160046, -0.3759396849896474, -0.8662648948011002, 0.0], [0.8301619554903854, 0.5523742302185877, 0.0755899295329871, 0.0], [0.4500851501341228, -0.7440107949756558, 0.493833265979963, 0.0], [0.0, 0.0, 0.0, 1.0]] , [[-6.123233995736766e-17, 1.0, 7.498798913309288e-33, 0.0], [1.0, 6.123233995736766e-17, -1.2246467991473532e-16, 0.0], [-1.2246467991473532e-16, 0.0, -1.0, 0.0], [0.0, 0.0, 0.0, 1.0]] , [[1.0, 0.0, 0.0, 0.0], [0.0, 1.0, 0.0, 0.0], [0.0, 0.0, 1.0, 0.0], [0.0, 0.0, 0.0, 1.0]] , [14046, 14046, 1624.0, 2436.0]
'20100427161936-04003000-02-VIS.jpg' , [-86.901357, 40.405257, 1790.6288871120003] , [[0.3290204937160046, -0.3759396849896474, -0.8662648948011002, 0.0], [0.8301619554903854, 0.5523742302185877, 0.0755899295329871, 0.0], [0.4500851501341228, -0.7440107949756558, 0.493833265979963, 0.0], [0.0, 0.0, 0.0, 1.0]] , [[-6.123233995736766e-17, 1.0, 7.498798913309288e-33, 0.0], [1.0, 6.123233995736766e-17, -1.2246467991473532e-16, 0.0], [-1.2246467991473532e-16, 0.0, -1.0, 0.0], [0.0, 0.0, 0.0, 1.0]] , [[1.0, 0.0, 0.0, 0.0], [0.0, 1.0, 0.0, 0.0], [0.0, 0.0, 1.0, 0.0], [0.0, 0.0, 0.0, 1.0]] , [14046, 14046, 1624.0, 2436.0]
'20100427161936-04003000-03-VIS.jpg' , [-86.901357, 40.405257, 1790.6288871120003] , [[0.3290204937160046, -0.3759396849896474, -0.8662648948011002, 0.0], [0.8301619554903854, 0.5523742302185877, 0.0755899295329871, 0.0], [0.4500851501341228, -0.7440107949756558, 0.493833265979963, 0.0], [0.0, 0.0, 0.0, 1.0]] , [[-6.123233995736766e-17, 1.0, 7.498798913309288e-33, 0.0], [1.0, 6.123233995736766e-17, -1.2246467991473532e-16, 0.0], [-1.2246467991473532e-16, 0.0, -1.0, 0.0], [0.0, 0.0, 0.0, 1.0]] , [[1.0, 0.0, 0.0, 0.0], [0.0, 1.0, 0.0, 0.0], [0.0, 0.0, 1.0, 0.0], [0.0, 0.0, 0.0, 1.0]] , [14046, 14046, 1624.0, 2436.0]
'20100427161936-04003000-04-VIS.jpg' , [-86.901357, 40.405257, 1790.6288871120003] , [[0.3290204937160046, -0.3759396849896474, -0.8662648948011002, 0.0], [0.8301619554903854, 0.5523742302185877, 0.0755899295329871, 0.0], [0.4500851501341228, -0.7440107949756558, 0.493833265979963, 0.0], [0.0, 0.0, 0.0, 1.0]] , [[-6.123233995736766e-17, 1.0, 7.498798913309288e-33, 0.0], [1.0, 6.123233995736766e-17, -1.2246467991473532e-16, 0.0], [-1.2246467991473532e-16, 0.0, -1.0, 0.0], [0.0, 0.0, 0.0, 1.0]] , [[1.0, 0.0, 0.0, 0.0], [0.0, 1.0, 0.0, 0.0], [0.0, 0.0, 1.0, 0.0], [0.0, 0.0, 0.0, 1.0]] , [14046, 14046, 1624.0, 2436.0]
'20100427161936-04003000-05-VIS.jpg' , [-86.901357, 40.405257, 1790.6288871120003] , [[0.3290204937160046, -0.3759396849896474, -0.8662648948011002, 0.0], [0.8301619554903854, 0.5523742302185877, 0.0755899295329871, 0.0], [0.4500851501341228, -0.7440107949756558, 0.493833265979963, 0.0], [0.0, 0.0, 0.0, 1.0]] , [[-6.123233995736766e-17, 1.0, 7.498798913309288e-33, 0.0], [1.0, 6.123233995736766e-17, -1.2246467991473532e-16, 0.0], [-1.2246467991473532e-16, 0.0, -1.0, 0.0], [0.0, 0.0, 0.0, 1.0]] , [[1.0, 0.0, 0.0, 0.0], [0.0, 1.0, 0.0, 0.0], [0.0, 0.0, 1.0, 0.0], [0.0, 0.0, 0.0, 1.0]] , [14046, 14046, 1624.0, 2436.0]
'20100427161937-04003001-00-VIS.jpg' , [-86.900823, 40.405502, 1790.6315135736002] , [[0.33463627225905085, -0.3667009748262301, -0.8680719787840516, 0.0], [0.8193545390118098, 0.5682528239680934, 0.07580809622350192, 0.0], [0.46548545056672935, -0.7366268547329642, 0.4906161148972885, 0.0], [0.0, 0.0, 0.0, 1.0]] , [[-6.123233995736766e-17, 1.0, 7.498798913309288e-33, 0.0], [1.0, 6.123233995736766e-17, -1.2246467991473532e-16, 0.0], [-1.2246467991473532e-16, 0.0, -1.0, 0.0], [0.0, 0.0, 0.0, 1.0]] , [[1.0, 0.0, 0.0, 0.0], [0.0, 1.0, 0.0, 0.0], [0.0, 0.0, 1.0, 0.0], [0.0, 0.0, 0.0, 1.0]] , [14046, 14046, 1624.0, 2436.0]
'20100427161937-04003001-01-VIS.jpg' , [-86.900823, 40.405502, 1790.6315135736002] , [[0.33463627225905085, -0.3667009748262301, -0.8680719787840516, 0.0], [0.8193545390118098, 0.5682528239680934, 0.07580809622350192, 0.0], [0.46548545056672935, -0.7366268547329642, 0.4906161148972885, 0.0], [0.0, 0.0, 0.0, 1.0]] , [[-6.123233995736766e-17, 1.0, 7.498798913309288e-33, 0.0], [1.0, 6.123233995736766e-17, -1.2246467991473532e-16, 0.0], [-1.2246467991473532e-16, 0.0, -1.0, 0.0], [0.0, 0.0, 0.0, 1.0]] , [[1.0, 0.0, 0.0, 0.0], [0.0, 1.0, 0.0, 0.0], [0.0, 0.0, 1.0, 0.0], [0.0, 0.0, 0.0, 1.0]] , [14046, 14046, 1624.0, 2436.0]
'20100427161937-04003001-02-VIS.jpg' , [-86.900823, 40.405502, 1790.6315135736002] , [[0.33463627225905085, -0.3667009748262301, -0.8680719787840516, 0.0], [0.8193545390118098, 0.5682528239680934, 0.07580809622350192, 0.0], [0.46548545056672935, -0.7366268547329642, 0.4906161148972885, 0.0], [0.0, 0.0, 0.0, 1.0]] , [[-6.123233995736766e-17, 1.0, 7.498798913309288e-33, 0.0], [1.0, 6.123233995736766e-17, -1.2246467991473532e-16, 0.0], [-1.2246467991473532e-16, 0.0, -1.0, 0.0], [0.0, 0.0, 0.0, 1.0]] , [[1.0, 0.0, 0.0, 0.0], [0.0, 1.0, 0.0, 0.0], [0.0, 0.0, 1.0, 0.0], [0.0, 0.0, 0.0, 1.0]] , [14046, 14046, 1624.0, 2436.0]
'20100427161937-04003001-03-VIS.jpg' , [-86.900823, 40.405502, 1790.6315135736002] , [[0.33463627225905085, -0.3667009748262301, -0.8680719787840516, 0.0], [0.8193545390118098, 0.5682528239680934, 0.07580809622350192, 0.0], [0.46548545056672935, -0.7366268547329642, 0.4906161148972885, 0.0], [0.0, 0.0, 0.0, 1.0]] , [[-6.123233995736766e-17, 1.0, 7.498798913309288e-33, 0.0], [1.0, 6.123233995736766e-17, -1.2246467991473532e-16, 0.0], [-1.2246467991473532e-16, 0.0, -1.0, 0.0], [0.0, 0.0, 0.0, 1.0]] , [[1.0, 0.0, 0.0, 0.0], [0.0, 1.0, 0.0, 0.0], [0.0, 0.0, 1.0, 0.0], [0.0, 0.0, 0.0, 1.0]] , [14046, 14046, 1624.0, 2436.0]
'20100427161937-04003001-04-VIS.jpg' , [-86.900823, 40.405502, 1790.6315135736002] , [[0.33463627225905085, -0.3667009748262301, -0.8680719787840516, 0.0], [0.8193545390118098, 0.5682528239680934, 0.07580809622350192, 0.0], [0.46548545056672935, -0.7366268547329642, 0.4906161148972885, 0.0], [0.0, 0.0, 0.0, 1.0]] , [[-6.123233995736766e-17, 1.0, 7.498798913309288e-33, 0.0], [1.0, 6.123233995736766e-17, -1.2246467991473532e-16, 0.0], [-1.2246467991473532e-16, 0.0, -1.0, 0.0], [0.0, 0.0, 0.0, 1.0]] , [[1.0, 0.0, 0.0, 0.0], [0.0, 1.0, 0.0, 0.0], [0.0, 0.0, 1.0, 0.0], [0.0, 0.0, 0.0, 1.0]] , [14046, 14046, 1624.0, 2436.0]
